"Date","PM2.5 AQI Value","AQI Category","Site Name","Site ID","Source"
"10/12/2020","38","Good","ROSE PARK","49-035-3010","AQS"
"10/13/2020","60","Moderate","ROSE PARK","49-035-3010","AQS"
"10/14/2020","34","Good","ROSE PARK","49-035-3010","AQS"
"10/15/2020","37","Good","ROSE PARK","49-035-3010","AQS"
"10/16/2020","40","Good","","49-035-4002","AQS"
"10/17/2020","44","Good","ROSE PARK","49-035-3010","AQS"
"10/18/2020","39","Good","ROSE PARK","49-035-3010","AQS"
"10/19/2020","38","Good","","49-035-4002","AQS"
"10/20/2020","35","Good","","49-035-4002","AQS"
"10/21/2020","39","Good","","49-035-4002","AQS"
"10/22/2020","21","Good","Hawthorne","49-035-3006","AQS"
"10/23/2020","47","Good","","49-035-4002","AQS"
"10/24/2020","52","Moderate","","49-035-4002","AQS"
"10/25/2020","19","Good","Hawthorne","49-035-3006","AQS"
"10/26/2020","38","Good","","49-035-4002","AQS"
"10/27/2020","58","Moderate","","49-035-4002","AQS"
"10/28/2020","57","Moderate","","49-035-4002","AQS"
"10/29/2020","60","Moderate","","49-035-4002","AQS"
"10/30/2020","41","Good","","49-035-4002","AQS"
"10/31/2020","45","Good","","49-035-2005","AQS"
"11/01/2020","62","Moderate","ROSE PARK","49-035-3010","AQS"
"11/02/2020","64","Moderate","ROSE PARK","49-035-3010","AQS"
"11/03/2020","66","Moderate","","49-035-4002","AQS"
"11/04/2020","61","Moderate","ROSE PARK","49-035-3010","AQS"
"11/05/2020","62","Moderate","ROSE PARK","49-035-3010","AQS"
"11/06/2020","42","Good","ROSE PARK","49-035-3010","AQS"
"11/07/2020","35","Good","ROSE PARK","49-035-3010","AQS"
"11/08/2020","21","Good","","49-035-4002","AQS"
"11/09/2020","26","Good","","49-035-2005","AQS"
"11/10/2020","31","Good","","49-035-4002","AQS"
"11/11/2020","23","Good","","49-035-4002","AQS"
"11/12/2020","40","Good","ROSE PARK","49-035-3010","AQS"
"11/13/2020","28","Good","","49-035-4002","AQS"
"11/14/2020","14","Good","","49-035-4002","AQS"
"11/15/2020","20","Good","","49-035-4002","AQS"
"11/16/2020","54","Moderate","","49-035-4002","AQS"
"11/17/2020","27","Good","ROSE PARK","49-035-3010","AQS"
"11/18/2020","55","Moderate","ROSE PARK","49-035-3010","AQS"
"11/19/2020","25","Good","","49-035-2005","AQS"
"11/20/2020","35","Good","","49-035-2005","AQS"
"11/21/2020","51","Moderate","ROSE PARK","49-035-3010","AQS"
"11/22/2020","51","Moderate","ROSE PARK","49-035-3010","AQS"
"11/23/2020","66","Moderate","","49-035-4002","AQS"
"11/24/2020","37","Good","","49-035-4002","AQS"
"11/25/2020","35","Good","","49-035-4002","AQS"
"11/26/2020","18","Good","","49-035-2005","AQS"
"11/27/2020","33","Good","","49-035-4002","AQS"
"11/28/2020","51","Moderate","","49-035-4002","AQS"
"11/29/2020","65","Moderate","","49-035-4002","AQS"
"11/30/2020","72","Moderate","ROSE PARK","49-035-3010","AQS"
