"Date","PM2.5 AQI Value","AQI Category","Site Name","Site ID","Source"
"03/29/2020","6","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"03/30/2020","6","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"03/31/2020","6","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"04/01/2020","10","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"04/02/2020","12","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"04/03/2020","8","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"04/04/2020","12","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"04/05/2020","13","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"04/06/2020","18","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"04/07/2020","20","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"04/08/2020","19","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"04/09/2020","19","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"04/10/2020","15","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"04/11/2020","11","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"04/12/2020","13","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"04/13/2020","14","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"04/14/2020","15","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"04/15/2020","7","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"04/16/2020","11","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"04/17/2020","14","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"04/18/2020","14","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"04/19/2020","12","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"04/20/2020","14","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"04/21/2020","13","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"04/22/2020","13","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
"04/23/2020","10","Good","RITZVILLE - ALDER ST","53-001-0003","AQS"
